f1,f2,f3
0.0,0.0,1.0
0.0,0.07124704998790964,0.997458699830735
0.0,0.1520571842539411,0.9883716976506172
0.0,0.24253562503633294,0.9701425001453318
0.0,0.3417430630867044,0.939793423488437
0.0,0.4472135954999579,0.8944271909999159
0.0,0.5547001962252291,0.8320502943378436
0.0,0.658504607868518,0.7525766947068778
0.0,0.7525766947068778,0.658504607868518
0.0,0.8320502943378436,0.5547001962252291
0.0,0.8944271909999159,0.4472135954999579
0.0,0.939793423488437,0.3417430630867044
0.0,0.9701425001453318,0.24253562503633294
0.0,0.9883716976506172,0.1520571842539411
0.0,0.997458699830735,0.07124704998790964
0.0,1.0,0.0
0.07124704998790964,0.0,0.997458699830735
0.07647191129018725,0.07647191129018725,0.9941348467724344
0.08192319205190403,0.16384638410380806,0.9830783046228485
0.0873704056661038,0.2621112169983114,0.9610744623271417
0.09245003270420485,0.3698001308168194,0.9245003270420484
0.09667364890456637,0.48336824452283184,0.8700628401410972
0.09950371902099892,0.5970223141259936,0.7960297521679913
0.1005037815259212,0.7035264706814484,0.7035264706814484
0.09950371902099892,0.7960297521679913,0.5970223141259936
0.09667364890456637,0.8700628401410972,0.48336824452283184
0.09245003270420486,0.9245003270420485,0.36980013081681945
0.0873704056661038,0.9610744623271417,0.2621112169983114
0.08192319205190403,0.9830783046228485,0.16384638410380806
0.07647191129018725,0.9941348467724342,0.07647191129018725
0.07124704998790964,0.997458699830735,0.0
0.1520571842539411,0.0,0.9883716976506172
0.16384638410380806,0.08192319205190403,0.9830783046228485
0.17609018126512477,0.17609018126512477,0.9684959969581861
0.18814417367671946,0.2822162605150792,0.9407208683835973
0.19900743804199783,0.39801487608399566,0.8955334711889903
0.20739033894608505,0.5184758473652126,0.8295613557843402
0.21199957600127198,0.635998728003816,0.741998516004452
0.21199957600127198,0.741998516004452,0.635998728003816
0.20739033894608505,0.8295613557843402,0.5184758473652126
0.19900743804199783,0.8955334711889903,0.39801487608399566
0.18814417367671946,0.9407208683835973,0.2822162605150792
0.17609018126512477,0.9684959969581861,0.17609018126512477
0.16384638410380806,0.9830783046228485,0.08192319205190403
0.1520571842539411,0.9883716976506172,0.0
0.24253562503633294,0.0,0.9701425001453318
0.2621112169983114,0.0873704056661038,0.9610744623271417
0.2822162605150792,0.18814417367671946,0.9407208683835973
0.30151134457776363,0.30151134457776363,0.9045340337332909
0.317999364001908,0.42399915200254396,0.8479983040050879
0.3292927799690711,0.5488212999484517,0.7683498199278325
0.3333333333333333,0.6666666666666666,0.6666666666666666
0.3292927799690711,0.7683498199278325,0.5488212999484517
0.317999364001908,0.8479983040050879,0.42399915200254396
0.30151134457776363,0.9045340337332908,0.30151134457776363
0.2822162605150792,0.9407208683835973,0.18814417367671946
0.2621112169983114,0.9610744623271417,0.0873704056661038
0.24253562503633294,0.9701425001453318,0.0
0.3417430630867044,0.0,0.939793423488437
0.3698001308168194,0.09245003270420485,0.9245003270420484
0.39801487608399566,0.19900743804199783,0.8955334711889903
0.42399915200254396,0.317999364001908,0.8479983040050879
0.4444444444444445,0.4444444444444445,0.7777777777777778
0.4558423058385518,0.5698028822981898,0.6837634587578277
0.4558423058385518,0.6837634587578277,0.5698028822981898
0.44444444444444436,0.7777777777777777,0.44444444444444436
0.42399915200254396,0.8479983040050879,0.317999364001908
0.39801487608399566,0.8955334711889903,0.19900743804199783
0.3698001308168194,0.9245003270420484,0.09245003270420485
0.3417430630867044,0.939793423488437,0.0
0.4472135954999579,0.0,0.8944271909999159
0.48336824452283184,0.09667364890456637,0.8700628401410972
0.5184758473652126,0.20739033894608505,0.8295613557843402
0.5488212999484517,0.3292927799690711,0.7683498199278325
0.5698028822981898,0.4558423058385518,0.6837634587578277
0.5773502691896257,0.5773502691896257,0.5773502691896257
0.5698028822981898,0.6837634587578277,0.4558423058385518
0.5488212999484517,0.7683498199278325,0.3292927799690711
0.5184758473652126,0.8295613557843402,0.20739033894608505
0.48336824452283184,0.8700628401410972,0.09667364890456637
0.4472135954999579,0.8944271909999159,0.0
0.5547001962252291,0.0,0.8320502943378436
0.5970223141259936,0.09950371902099892,0.7960297521679913
0.635998728003816,0.21199957600127198,0.741998516004452
0.6666666666666666,0.3333333333333333,0.6666666666666666
0.6837634587578277,0.4558423058385518,0.5698028822981898
0.6837634587578277,0.5698028822981898,0.4558423058385518
0.6666666666666666,0.6666666666666666,0.3333333333333333
0.635998728003816,0.741998516004452,0.21199957600127198
0.5970223141259936,0.7960297521679913,0.09950371902099892
0.5547001962252291,0.8320502943378436,0.0
0.658504607868518,0.0,0.7525766947068778
0.7035264706814484,0.1005037815259212,0.7035264706814484
0.741998516004452,0.21199957600127198,0.635998728003816
0.7683498199278325,0.3292927799690711,0.5488212999484517
0.7777777777777777,0.44444444444444436,0.44444444444444436
0.7683498199278325,0.5488212999484517,0.3292927799690711
0.741998516004452,0.635998728003816,0.21199957600127198
0.7035264706814485,0.7035264706814485,0.10050378152592121
0.658504607868518,0.7525766947068778,0.0
0.7525766947068778,0.0,0.658504607868518
0.7960297521679913,0.09950371902099892,0.5970223141259936
0.8295613557843402,0.20739033894608505,0.5184758473652126
0.8479983040050879,0.317999364001908,0.42399915200254396
0.8479983040050879,0.42399915200254396,0.317999364001908
0.8295613557843402,0.5184758473652126,0.20739033894608505
0.7960297521679913,0.5970223141259936,0.09950371902099892
0.7525766947068778,0.658504607868518,0.0
0.8320502943378436,0.0,0.5547001962252291
0.8700628401410972,0.09667364890456637,0.48336824452283184
0.8955334711889903,0.19900743804199783,0.39801487608399566
0.9045340337332908,0.30151134457776363,0.30151134457776363
0.8955334711889903,0.39801487608399566,0.19900743804199783
0.8700628401410972,0.48336824452283184,0.09667364890456637
0.8320502943378436,0.5547001962252291,0.0
0.8944271909999159,0.0,0.4472135954999579
0.9245003270420485,0.09245003270420486,0.36980013081681945
0.9407208683835973,0.18814417367671946,0.2822162605150792
0.9407208683835973,0.2822162605150792,0.18814417367671946
0.9245003270420484,0.3698001308168194,0.09245003270420485
0.8944271909999159,0.4472135954999579,0.0
0.939793423488437,0.0,0.3417430630867044
0.9610744623271417,0.0873704056661038,0.2621112169983114
0.9684959969581861,0.17609018126512477,0.17609018126512477
0.9610744623271417,0.2621112169983114,0.0873704056661038
0.939793423488437,0.3417430630867044,0.0
0.9701425001453318,0.0,0.24253562503633294
0.9830783046228485,0.08192319205190403,0.16384638410380806
0.9830783046228485,0.16384638410380806,0.08192319205190403
0.9701425001453318,0.24253562503633294,0.0
0.9883716976506172,0.0,0.1520571842539411
0.9941348467724342,0.07647191129018725,0.07647191129018725
0.9883716976506172,0.1520571842539411,0.0
0.997458699830735,0.0,0.07124704998790964
0.997458699830735,0.07124704998790964,0.0
1.0,0.0,0.0
