iterID,x1,x2,x3,x4,f1,f2,f3,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Expected_f3,Uncertainty_f3,Acquisition_f3,Hypervolume_indicator
0,0.18293783464244157,0.5486313710222187,0.47919573708756413,0.6305910002606931,0.6353028549194899,0.7406140428541589,0.28837573506692665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39255903187078034
0,0.4745515997796349,0.7944805062752592,0.20092112535721462,0.1816277276656323,0.2775968006873961,0.8298055917306291,0.8077059824978763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39255903187078034
0,0.9878875868336765,0.23839645545747315,0.9305750126942216,0.8429649732509681,0.023072011020828283,0.00906769745908885,1.3027839790145532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39255903187078034
1,0.8424393749438733,1.0,0.9679744487965741,0.8458894469739489,2.0080257928049447e-17,0.3279354984968744,1.2978498650195236,0.31132588962154334,1.0024475911090747,-0.0026467784637779134,0.04338359461310509,0.32200367886259507,-1.3139319444652262,0.801227200408098,1.0024440235951897,0.0038759495111789746,0.39680148347183564
1,0.19302434462713022,0.5460254647722548,1.0,0.0,0.9365136084895024,1.0827547909652833,0.4478664128461709,0.4712554557275655,0.8716856009549102,0.6342117062257933,0.40009477171842334,0.9014914779269098,-0.34377588693582284,0.4782250820393625,0.7788588888656616,-0.7760023880615949,0.39680148347183564
1,0.9550582520844746,0.22898163860764922,0.9470512974398464,0.8433024397295292,0.08699795630807587,0.032714848289393,1.3144293442036175,0.15691786846805728,0.845099407772438,-0.617517816821591,0.010825480264499254,0.09032486608726291,-1.402481039319378,1.0811015936310107,0.8301896751081086,0.6796237669502636,0.39680148347183564
1,0.18336581695702026,0.5485620603421205,0.9443112847888573,0.666583657748611,0.7649172864419244,0.8915176229836671,0.34802492679319147,0.5892784977531738,0.5149181013452585,1.1041934458939544,0.41894528125541486,0.8750018753811273,-0.29250769802390475,0.3470998949855373,0.46594054012529657,-1.0925999800833148,0.39680148347183564
2,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.4797963862506667,0.8256409007939847,0.25399235168375367,0.4981207163703172,0.5386233251243809,-0.1524299619169831,0.060797642676471364,0.28635387223185754,-1.751067580341111,0.3991313694341664
2,0.46321334708978773,0.9940322618780824,0.0,1.0,0.01050020172982248,1.1200961060879007,0.9976344314879851,0.2251064642955786,0.5383613783545631,-0.46004656013192946,0.5851767895936825,0.4605962458104095,0.06482276105203044,0.6929508617021207,0.13980386201436912,-0.3111959660728729,0.3991313694341664
2,0.694992643515783,0.09400297089356269,0.0,1.0,0.6839523787358757,0.10173252727938432,1.3311121802894326,0.2752679240746821,0.7946005658533589,-0.3194158124336628,0.3377486375359787,0.5744895087339342,-0.5526463916836561,1.0864658952455355,0.20928741107880075,0.5851233273103134,0.3991313694341664
2,1.0,0.4146566609644994,0.0,1.0,7.304449593909661e-17,5.56834840008799e-17,1.5,0.035432053934799757,0.6762645158125076,-0.9918104734177264,0.15017716798838532,0.597019043758274,-1.0207402420225997,1.2357221321631788,0.24323665485021845,0.9250880895264331,0.3991313694341664
3,0.00012757314333394776,0.5085544984828572,0.0,1.0,1.0463123348496886,1.0748164529763988,0.0003005871354082002,0.6052481225060808,0.23387091390553622,0.33364749487809675,0.4320127115840736,0.41479885819068424,-0.0784430426417182,0.0004013221511113274,0.022209620956928425,-1.7533849450848704,0.4040890110833908
3,1.0,0.649991241384174,1.0,0.0,4.7991792048744466e-17,7.831306834381485e-17,1.5,-0.014728009705103406,0.32119335930477155,-0.9748920394122713,0.06435340167783177,0.5700376015625191,-0.9043851768850324,1.062420130097574,0.4266503070183337,0.37335395793486725,0.4040890110833908
3,0.0,0.7707351221232623,0.0,1.0,0.528591638635028,1.4037773611100643,0.0,0.2624309498137172,0.3746031857348023,-0.3899123329844407,0.7452270179120897,0.5697080177238282,0.6251890582564532,0.0006392171309739236,0.03366864145875786,-1.7529085500297912,0.4040890110833908
3,0.0,0.3029918388677132,0.0,1.0,1.3332946991822558,0.6872592270260894,0.0,0.9748930634377195,0.19316054618819076,1.113830785377278,0.20848111431948868,0.3259953203014515,-0.5806040366407821,0.00010679000952784623,0.01324224307390163,-1.7539747585222676,0.4040890110833908
4,0.5309429964571513,0.5020480371269056,0.5774325331329495,1.0,0.5948214822623574,0.5986609873272304,0.9302246336471495,0.29868638507803735,0.2135000782936836,-0.4470396060642443,0.29305658083474606,0.30013753292685913,-0.5329753482550892,0.5861025265976869,0.7341150708791045,-0.2663323420904842,0.5699429042208047
4,0.7764144196303635,0.609283091345292,0.5684839418467507,1.0,0.2486004136100427,0.35287723943260174,1.1781012734660148,-0.05698413485325349,0.25502251010215543,-1.1596646496784153,0.10578301354535641,0.3459696521348531,-0.9162548575420626,1.0270490131069319,0.7914353043585084,0.4850178122252844,0.5699429042208047
4,0.5281359499917634,0.0,0.4049703982367246,1.0,0.8500663762881304,0.0,0.9287331538845216,0.7831049764081331,0.29190677650525254,0.5235463728940708,-0.03704908018156605,0.37412826298506946,-1.2085791592919737,0.578044684546972,0.7160134444830912,-0.2800624908806135,0.5699429042208047
4,0.5086070918544598,0.8347367226687455,0.5484517280616995,1.0,0.22421544711776967,0.8442232116895805,0.8974346985064714,0.04262271310522875,0.21512487174033404,-0.9600913637496404,0.6161610955740229,0.29326971262676993,0.1282997139447435,0.5457611948506583,0.5231630027370366,-0.33507189838763596,0.5699429042208047
5,0.27452425201710123,0.0,0.15850384928004943,0.4030064900406336,1.0229460721055457,0.0,0.47065800044260286,0.901030732934162,0.5349070894335787,0.8447612895247545,-0.1449752105566955,0.6298759857161553,-1.4733453864924009,0.48377104894293277,0.07282142283698725,-0.5803345307716867,0.7734324695199031
5,0.019508054414667186,0.35458418170059086,0.0,0.35844922032549853,1.0775716755227331,0.6710575048118748,0.03891187072420852,0.8827401652253852,0.3377531241567409,0.8049539760013218,0.47991246767402573,0.44075696496259653,-0.112287809976241,-0.013648649606527785,0.16431285963788816,-1.513281387257102,0.7734324695199031
5,0.4090661984728846,0.39325225857998974,0.17234658801960115,0.44016946184266537,0.7250209377896014,0.5151066093370605,0.6657248834557615,0.5232495905700952,0.29229320125468927,0.022564153997315373,0.3015209804638394,0.32139049090297883,-0.5008393748604547,0.7339751877024281,0.036159109390652054,-0.11105845381692347,0.7734324695199031
5,0.6693002153068572,0.0,0.29527925257708304,0.4894758020657174,0.5172731341890985,0.0,0.9045645274179771,0.48697591088335207,0.49997723459180127,-0.05638133107069976,-0.19734827072865158,0.575919410600261,-1.5874182876483403,1.1044396251597433,0.06962432895257799,0.5837745682232622,0.7734324695199031
6,1.0,0.0,0.3780913979409706,0.43983594040477714,6.236400063071075e-17,0.0,1.0184814213229643,-0.07437319117109009,0.20596223188554852,-1.444527947629874,-0.11811348724196336,0.28871343274660605,-1.3684100997950495,1.1057492717104698,0.1772158455491621,0.7020263704701009,0.9773928003361859
6,0.0,0.38502453951323234,0.5663960597385804,0.6344665960617075,0.8411190486680512,0.5813810601348272,0.0,0.9067226995299507,0.16449133228044,0.7581844462703966,0.564243672417237,0.23756308692850747,0.16552984862563136,-0.04083417073667173,0.1262141228082546,-1.5334102403625707,0.9773928003361859
6,1.0,1.0,0.3127722051761338,0.5528747415283184,3.891314171521366e-33,6.354998313359656e-17,1.0378499854462941,-0.3040083762837884,0.34412722069302076,-1.960094543227263,0.10684400370067021,0.44669836424678233,-0.8627053128390028,1.1218822681284328,0.16431398910434256,0.7334800697823596,0.9773928003361859
6,0.02321345102869411,0.7200408182027634,0.62425241230833,0.8697079039270348,0.49015706588719604,1.0418101669012918,0.04200123277757002,0.4430401417901345,0.16980370057959093,-0.2828547900055396,0.9736420595592927,0.2321575162186033,1.0858580550004895,0.028798976953344102,0.16147562953977498,-1.397649961684941,0.9773928003361859
7,0.0,0.0,0.4734426057943006,0.6813980185904789,1.0336105363355486,0.0,0.0,1.119890555955826,0.1964039713613307,1.3276421547365036,-0.06028188547899871,0.18069139665859726,-1.2104235985174148,-0.01796122066118877,0.030497479529312657,-1.4121247361478897,1.123175840933262
7,1.0,0.5257079767679164,0.37585278541601186,0.4468558587027332,4.227162152905508e-17,4.583132966113964e-17,1.0182368306431866,-0.05806044276687672,0.17196425469821444,-1.3417655921962712,-0.038774501612321655,0.17644029875106806,-1.1620644003520213,1.0181739855350294,0.014038777128422133,0.5897838753728095,1.123175840933262
7,0.26181369411718586,0.0,0.5719131899447187,0.3670056944459404,0.9375724474948619,0.0,0.40889903841713593,0.90309275022764,0.1893712493450349,0.8363468947839445,0.05001446558687628,0.18283281209103017,-0.9624230452572595,0.44266972654764036,0.07597653706848301,-0.5221433375468454,1.123175840933262
7,0.4665406153267858,1.0,0.40944925917098224,0.5953394532589428,4.6299477950799023e-17,0.7561278563424904,0.6805495368221784,0.061551435077749905,0.14557915317711295,-1.0707077352142367,0.9301121848165521,0.14557319057487905,1.0164703558635146,0.7036916203317228,0.05184484726460081,-0.01782500743227189,1.123175840933262
8,0.47181735069546066,0.0,0.47278793992216106,0.46141680696407344,0.7393513091119929,0.0,0.6766261366968307,0.7780132514736757,0.05645184926974375,0.5556888865789595,-0.03701950575926538,0.06064981923675208,-1.0805759294451747,0.6786812208134907,0.029769752246439487,-0.020265318219966133,1.1980849742561703
8,0.31558685454022095,1.0,0.5171957367968436,0.46574987821783687,5.394061840606716e-17,0.8809171500488585,0.47636609916139994,0.04088713083117901,0.09884820926078138,-1.0873448904898488,0.8938146390730604,0.11289470140593716,1.024688410977376,0.47154780195818624,0.02349071784201426,-0.4303230573826724,1.1980849742561703
8,1.0,1.0,0.7264722939011472,0.3837026790050371,3.992415907985725e-33,6.52010997908197e-17,1.064814766775453,-0.03415885789651474,0.14819181700597248,-1.254620327976248,-0.07871442113302762,0.18014837276221687,-1.1748771741949895,1.1416905499788579,0.07810177236444556,0.8963446608844734,1.1980849742561703
8,0.5867682256540556,0.9857129359890153,0.523401523174613,0.4770910911138175,0.013579010898379207,0.6049679266932523,0.7974807001236365,0.06477761799946608,0.08344991270711251,-1.0340936540068562,0.5544890937236182,0.0910139380493644,0.25723700797013294,0.8093758982821908,0.04210166726573235,0.23846822781806765,1.1980849742561703
9,1.0,0.27461156161676104,0.5288693947788119,0.5181458589838678,5.568803697294386e-17,2.5631348447004277e-17,1.0011627141531574,-0.03259884195414747,0.08518558265184296,-1.1635262321068467,-0.011768262792973494,0.097074243144143,-1.018663305847781,0.9916544396162844,0.030203473655253485,0.613636441186383,1.2395683509767603
9,0.1904437062334361,1.0,0.5345514602319785,0.49298688283271214,5.85856105308924e-17,0.956775628233087,0.29507273115205057,0.010697868087823748,0.049754007535047495,-1.0670922948991262,0.9778925429908996,0.05325361647499043,1.2488220243326964,0.29458459771111517,0.013337859529238737,-0.8347889344307511,1.2395683509767603
9,1.0,0.0,0.42170387180064234,0.8068677106291549,6.737382581454264e-17,0.0,1.100298075517789,0.031159320369918697,0.1235358195899808,-1.021518892147796,-0.058544231399373314,0.1535999950999359,-1.125835199490659,1.102648141402228,0.04904545213362362,0.8442676986813993,1.2395683509767603
9,0.03232321739107924,0.6249746084022834,0.5151585026437844,0.5525506862159634,0.5565472649992621,0.8328599308790197,0.050903194497597996,0.570158103450761,0.06215029873591969,0.1789828261644999,0.8621189137810152,0.07384814735587074,0.983564469096649,0.05226225255008987,0.01797402419808844,-1.338304956370532,1.2395683509767603
10,0.0,1.0,0.3856263124955718,0.5242795512603234,6.206943729622262e-17,1.0136708370027632,0.0,-0.01659960039698788,0.08482648031220187,-1.0567367554934606,1.0542898132219387,0.0924927393898849,1.4159498482847965,-0.0052064072037206754,0.018556520741594893,-1.4474002286270888,1.277296618713088
10,1.0,0.7049369354735643,0.5086035000702093,0.5161096906561056,2.7384103534183737e-17,5.479061885388529e-17,1.0003335423464934,-0.015779127925016068,0.060157237868486924,-1.0548937229012978,-0.02003969155972124,0.07252535665035288,-1.0377509423469462,0.9995894682030176,0.0038503093637403873,0.6515875997934728,1.277296618713088
10,0.0,0.7450852984138484,0.4864514032824756,0.482634547631794,0.38999340667781984,0.9213444659357778,0.0,0.38408608323359295,0.03153503087336576,-0.1566739266096988,0.9280653805926207,0.036822477934176354,1.1276612098725565,0.00021131267957263944,0.012518601116619937,-1.4360827776192195,1.277296618713088
10,0.7740470688854655,1.0,0.5156867255125493,0.5195944051628898,2.129293105931532e-17,0.3477399536607663,0.9382629427232673,0.004776853159127792,0.03953642591219701,-1.0087186903485161,0.338094767857971,0.04044583764356194,-0.21979443802078436,0.9376283473725325,0.021349627148538247,0.522152714916146,1.277296618713088
